"구분","등록번호","청구기호","서명","저작자","발행자","발행년","가격","자료실명"
"81","EM0000380070","325.38-킨223ㄱ","(직장인의 웰빙을 위한) 기업상담의 통합적 접근","Andrew Kinder, Rick Hughes, Cary L. Cooper 공저  ; 김선경, 왕은자, 김수임 공역","학지사","2019","23000","종합자료실"
"82","EM0000380071","100-야31ㅊ","철학은 어떻게 삶의 무기가 되는가  : 불확실한 삶을 돌파하는 50가지 생각 도구","야마구치 슈 지음  ; 김윤경 옮김","다산초당","2019","16000","종합자료실"
"83","EM0000380072","160.9-고57ㅍ","플라톤처럼 사랑하고 어거스틴처럼 고백하기 : 고대&중세 철학사","고수현 지음","양서원","2019","15000","종합자료실"
"84","EM0000380073","181.7-쉬54ㅎ","하버드 감정 수업  : 세계 최고의 지성들이 배우는 감정의 심리학","쉬셴장 지음  ; 송은진 옮김","와이즈맵","2019","15000","종합자료실"
"85","EM0000380074","199.1-허17ㅎ","혼자 있는 시간이 가르쳐주는 것들  : 나는 때론 혼자이고 싶다","허균 지음  ; 정영훈 엮음  ; 박승원 옮김","메이트북스","2019","14000","종합자료실"
"86","EM0000380075","182.3-케238ㅎ","혼자를 권하는 사회  : 주눅 들지 않고 나를 지키면서 두려움 없이 타인을 생각하는 심리학 공부","모니크 드 케르마덱 지음  ; 김진주 옮김","생각의길","2019","15000","종합자료실"
"87","EM0000380076","230-강64ㄱ","(교회를 오래 다녀도 잘 모르는) 기독교 교양 100문 100답","강영선 지음","대한기독교서회","2019","14000","종합자료실"
"88","EM0000380077","221.4-일37ㅊ","(일묵 스님이 들려주는) 초기불교 윤회 이야기  : 당신 다음 삶을 바꾸는 불교 강의","일묵 지음","불광","2019","13800","종합자료실"
"89","EM0000380078","231.177-성51ㅇ","6일간의 창조와 안식  : 영적인 눈으로 바라보는 세계","성상모 지음","Haum(하움)","2019","12000","종합자료실"
"90","EM0000380079","234.3-조73ㄱ","고난이 선물이다  : 조정민 잠언록","조정민 지음  ; 추덕영 [그림]","두란노","2018","13000","종합자료실"
"91","EM0000380080","818-오223ㄱ","김수환 추기경과의 추억  = The memoirs of a cardinal","오덕주 지음","에피파니","2019","23000","종합자료실"
"92","EM0000380081","235.65-김98ㄴ","나도 존중받고 싶다  : 나를 알아주는 거룩한 입맞춤","김흥근, 서명희 지음","두란노","2019","12000","종합자료실"
